GO.ID	Term	Annotated	Significant	Expected	Rank in elimFisher	weight01Fisher	elimFisher	Protein	PUF
GO:0051536	iron-sulfur cluster binding	69	10	5.37	1	0.031	0.036	WP_003511613.1;WP_003512197.1;WP_003512259.1;WP_003512652.1;WP_003515910.1;WP_003515954.1;WP_003517512.1;WP_003518339.1;WP_003518592.1;WP_003519009.1	WP_003511548.1;WP_003511628.1;WP_003512101.1;WP_003512197.1;WP_003512259.1;WP_003512309.1;WP_003512947.1;WP_003513139.1;WP_003513693.1;WP_003513930.1;WP_003514141.1;WP_003515029.1;WP_003515543.1;WP_003515607.1;WP_003515910.1;WP_003515912.1;WP_003515926.1;WP_003516077.1;WP_003516875.1;WP_003517004.1;WP_003517060.1;WP_003517819.1;WP_003517918.1;WP_003517992.1;WP_003518759.1;WP_003518807.1;WP_003519334.1;WP_003521121.1
GO:0016860	intramolecular oxidoreductase activity	10	3	0.78	3	0.037	0.037	WP_003512174.1;WP_003513028.1;WP_003514580.1	WP_003511548.1;WP_003511628.1;WP_003512101.1;WP_003512197.1;WP_003512259.1;WP_003512309.1;WP_003512947.1;WP_003513139.1;WP_003513693.1;WP_003513930.1;WP_003514141.1;WP_003515029.1;WP_003515543.1;WP_003515607.1;WP_003515910.1;WP_003515912.1;WP_003515926.1;WP_003516077.1;WP_003516875.1;WP_003517004.1;WP_003517060.1;WP_003517819.1;WP_003517918.1;WP_003517992.1;WP_003518759.1;WP_003518807.1;WP_003519334.1;WP_003521121.1
GO:0005198	structural molecule activity	68	9	5.29	5	0.046	0.075	WP_003513572.1;WP_003513613.1;WP_003514304.1;WP_003514641.1;WP_003514675.1;WP_003515022.1;WP_003515024.1;WP_003518492.1;WP_003518897.1	WP_003511548.1;WP_003511628.1;WP_003512101.1;WP_003512197.1;WP_003512259.1;WP_003512309.1;WP_003512947.1;WP_003513139.1;WP_003513693.1;WP_003513930.1;WP_003514141.1;WP_003515029.1;WP_003515543.1;WP_003515607.1;WP_003515910.1;WP_003515912.1;WP_003515926.1;WP_003516077.1;WP_003516875.1;WP_003517004.1;WP_003517060.1;WP_003517819.1;WP_003517918.1;WP_003517992.1;WP_003518759.1;WP_003518807.1;WP_003519334.1;WP_003521121.1
GO:0008757	S-adenosylmethionine-dependent methyltra...	23	4	1.79	7	0.060	0.097	NA	NA
GO:0008324	cation transmembrane transporter activit...	32	3	2.49	36	0.078	0.460	NA	NA
GO:0016746	transferase activity, transferring acyl ...	41	6	3.19	6	0.095	0.093	NA	NA
GO:0042802	identical protein binding	16	3	1.25	8	0.122	0.122	NA	NA
GO:0032561	guanyl ribonucleotide binding	49	4	3.81	46	0.151	0.539	NA	NA
GO:0043022	ribosome binding	10	2	0.78	9	0.179	0.179	NA	NA
GO:0016874	ligase activity	88	6	6.85	86	0.189	0.698	NA	NA
