GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:0003723	RNA binding	110	10	5.69	0.050
GO:0000049	tRNA binding	18	3	0.93	0.062
GO:0008135	translation factor activity, RNA binding	19	3	0.98	0.071
GO:0008270	zinc ion binding	47	5	2.43	0.090
GO:0052689	carboxylic ester hydrolase activity	11	2	0.57	0.107
GO:0097159	organic cyclic compound binding	545	33	28.17	0.127
GO:1901363	heterocyclic compound binding	545	33	28.17	0.127
GO:0016741	transferase activity, transferring one-c...	68	6	3.52	0.133
GO:0036094	small molecule binding	382	24	19.75	0.146
GO:0004812	aminoacyl-tRNA ligase activity	26	3	1.34	0.147
GO:0016875	ligase activity, forming carbon-oxygen b...	26	3	1.34	0.147
GO:0003676	nucleic acid binding	258	17	13.34	0.157
GO:0140101	catalytic activity, acting on a tRNA	43	4	2.22	0.178
GO:0050661	NADP binding	15	2	0.78	0.179
GO:0043167	ion binding	507	30	26.21	0.191
GO:0008168	methyltransferase activity	60	5	3.1	0.193
GO:0004673	protein histidine kinase activity	16	2	0.83	0.199
GO:0046914	transition metal ion binding	78	6	4.03	0.210
GO:0016775	phosphotransferase activity, nitrogenous...	17	2	0.88	0.218
GO:0043168	anion binding	345	21	17.83	0.218
GO:0050662	coenzyme binding	81	6	4.19	0.236
GO:0016407	acetyltransferase activity	19	2	0.98	0.257
GO:0016491	oxidoreductase activity	153	10	7.91	0.258
GO:0016874	ligase activity	84	6	4.34	0.263
GO:0000166	nucleotide binding	338	20	17.47	0.274
GO:1901265	nucleoside phosphate binding	338	20	17.47	0.274
GO:0005488	binding	780	43	40.32	0.276
GO:0048037	cofactor binding	140	9	7.24	0.292
GO:0016788	hydrolase activity, acting on ester bond...	70	5	3.62	0.292
GO:0097367	carbohydrate derivative binding	306	18	15.82	0.301
GO:0035639	purine ribonucleoside triphosphate bindi...	272	16	14.06	0.320
GO:0070011	peptidase activity, acting on L-amino ac...	39	3	2.02	0.328
GO:0016740	transferase activity	331	19	17.11	0.336
GO:0019843	rRNA binding	40	3	2.07	0.342
GO:0032553	ribonucleotide binding	295	17	15.25	0.345
GO:0032555	purine ribonucleotide binding	280	16	14.47	0.368
GO:0004519	endonuclease activity	25	2	1.29	0.374
GO:0070279	vitamin B6 binding	25	2	1.29	0.374
GO:0030170	pyridoxal phosphate binding	25	2	1.29	0.374
GO:0005524	ATP binding	244	14	12.61	0.377
GO:0017076	purine nucleotide binding	282	16	14.58	0.380
GO:0032559	adenyl ribonucleotide binding	245	14	12.67	0.383
GO:0140098	catalytic activity, acting on RNA	79	5	4.08	0.388
GO:0004672	protein kinase activity	26	2	1.34	0.393
GO:0030554	adenyl nucleotide binding	247	14	12.77	0.396
GO:0043022	ribosome binding	10	1	0.52	0.413
GO:0016791	phosphatase activity	10	1	0.52	0.413
GO:0016903	oxidoreductase activity, acting on the a...	10	1	0.52	0.413
GO:0004536	deoxyribonuclease activity	10	1	0.52	0.413
GO:0008238	exopeptidase activity	10	1	0.52	0.413
GO:0050660	flavin adenine dinucleotide binding	10	1	0.52	0.413
GO:0051540	metal cluster binding	47	3	2.43	0.443
GO:0051536	iron-sulfur cluster binding	47	3	2.43	0.443
GO:0140096	catalytic activity, acting on a protein	103	6	5.32	0.444
GO:0008144	drug binding	293	16	15.15	0.448
GO:0016747	transferase activity, transferring acyl ...	29	2	1.5	0.448
GO:0016810	hydrolase activity, acting on carbon-nit...	30	2	1.55	0.466
