GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:0098655	cation transmembrane transport	19	2	0.28	0.030
GO:0006766	vitamin metabolic process	20	2	0.29	0.033
GO:0006767	water-soluble vitamin metabolic process	20	2	0.29	0.033
GO:0032787	monocarboxylic acid metabolic process	51	3	0.75	0.035
GO:0006575	cellular modified amino acid metabolic p...	22	2	0.32	0.040
GO:1901565	organonitrogen compound catabolic proces...	54	3	0.8	0.041
GO:0006310	DNA recombination	23	2	0.34	0.043
GO:0044282	small molecule catabolic process	56	3	0.83	0.045
GO:0034220	ion transmembrane transport	24	2	0.35	0.046
GO:0006810	transport	110	4	1.62	0.069
GO:0008610	lipid biosynthetic process	30	2	0.44	0.070
GO:0051234	establishment of localization	112	4	1.65	0.073
GO:0055085	transmembrane transport	71	3	1.05	0.081
GO:0006812	cation transport	33	2	0.49	0.082
GO:0051186	cofactor metabolic process	72	3	1.06	0.083
GO:0006259	DNA metabolic process	74	3	1.09	0.089
GO:0006790	sulfur compound metabolic process	35	2	0.52	0.091
GO:0051179	localization	125	4	1.84	0.101
GO:0044255	cellular lipid metabolic process	38	2	0.56	0.105
GO:0006629	lipid metabolic process	40	2	0.59	0.115
GO:0006811	ion transport	42	2	0.62	0.124
GO:0008299	isoprenoid biosynthetic process	10	1	0.15	0.139
GO:0006720	isoprenoid metabolic process	10	1	0.15	0.139
GO:0044248	cellular catabolic process	92	3	1.36	0.147
GO:0006526	arginine biosynthetic process	11	1	0.16	0.151
GO:0042592	homeostatic process	11	1	0.16	0.151
GO:0006525	arginine metabolic process	12	1	0.18	0.164
GO:0098660	inorganic ion transmembrane transport	13	1	0.19	0.176
GO:0098662	inorganic cation transmembrane transport	13	1	0.19	0.176
GO:0050790	regulation of catalytic activity	13	1	0.19	0.176
GO:0065009	regulation of molecular function	14	1	0.21	0.189
GO:0000271	polysaccharide biosynthetic process	15	1	0.22	0.201
GO:0009991	response to extracellular stimulus	15	1	0.22	0.201
GO:0071496	cellular response to external stimulus	15	1	0.22	0.201
GO:0031668	cellular response to extracellular stimu...	15	1	0.22	0.201
GO:0006732	coenzyme metabolic process	58	2	0.85	0.209
GO:0009084	glutamine family amino acid biosynthetic...	16	1	0.24	0.213
GO:0030001	metal ion transport	17	1	0.25	0.225
GO:0006631	fatty acid metabolic process	17	1	0.25	0.225
GO:0051276	chromosome organization	18	1	0.27	0.236
GO:0016051	carbohydrate biosynthetic process	19	1	0.28	0.248
GO:0070887	cellular response to chemical stimulus	19	1	0.28	0.248
GO:0019752	carboxylic acid metabolic process	178	4	2.62	0.259
GO:0043436	oxoacid metabolic process	179	4	2.64	0.262
GO:1901575	organic substance catabolic process	122	3	1.8	0.264
GO:0006082	organic acid metabolic process	180	4	2.65	0.266
GO:0009056	catabolic process	125	3	1.84	0.277
GO:0009064	glutamine family amino acid metabolic pr...	26	1	0.38	0.323
GO:0043603	cellular amide metabolic process	137	3	2.02	0.328
GO:0009169	purine ribonucleoside monophosphate cata...	29	1	0.43	0.354
GO:0009158	ribonucleoside monophosphate catabolic p...	29	1	0.43	0.354
GO:0009125	nucleoside monophosphate catabolic proce...	29	1	0.43	0.354
GO:0009128	purine nucleoside monophosphate cataboli...	29	1	0.43	0.354
GO:0071705	nitrogen compound transport	30	1	0.44	0.364
GO:0071702	organic substance transport	35	1	0.52	0.411
GO:0005975	carbohydrate metabolic process	95	2	1.4	0.416
GO:0019637	organophosphate metabolic process	158	3	2.33	0.419
GO:0006281	DNA repair	36	1	0.53	0.420
GO:0009150	purine ribonucleotide metabolic process	96	2	1.41	0.421
GO:0006996	organelle organization	37	1	0.55	0.428
GO:0065008	regulation of biological quality	38	1	0.56	0.437
GO:0006163	purine nucleotide metabolic process	100	2	1.47	0.442
GO:0009154	purine ribonucleotide catabolic process	42	1	0.62	0.471
GO:0009203	ribonucleoside triphosphate catabolic pr...	42	1	0.62	0.471
GO:0009207	purine ribonucleoside triphosphate catab...	42	1	0.62	0.471
GO:0009261	ribonucleotide catabolic process	42	1	0.62	0.471
GO:0009146	purine nucleoside triphosphate catabolic...	42	1	0.62	0.471
GO:0090305	nucleic acid phosphodiester bond hydroly...	42	1	0.62	0.471
GO:0072521	purine-containing compound metabolic pro...	106	2	1.56	0.474
GO:1901135	carbohydrate derivative metabolic proces...	172	3	2.53	0.478
GO:0006195	purine nucleotide catabolic process	43	1	0.63	0.479
GO:0009143	nucleoside triphosphate catabolic proces...	43	1	0.63	0.479
GO:0046130	purine ribonucleoside catabolic process	43	1	0.63	0.479
GO:0009259	ribonucleotide metabolic process	108	2	1.59	0.484
GO:0042454	ribonucleoside catabolic process	44	1	0.65	0.487
GO:0006152	purine nucleoside catabolic process	44	1	0.65	0.487
GO:0009605	response to external stimulus	44	1	0.65	0.487
GO:0006974	cellular response to DNA damage stimulus	45	1	0.66	0.495
GO:0009164	nucleoside catabolic process	45	1	0.66	0.495
GO:0072523	purine-containing compound catabolic pro...	45	1	0.66	0.495
GO:0034656	nucleobase-containing small molecule cat...	45	1	0.66	0.495
GO:1901658	glycosyl compound catabolic process	45	1	0.66	0.495
GO:0019693	ribose phosphate metabolic process	112	2	1.65	0.505
GO:0044281	small molecule metabolic process	314	5	4.63	0.514
GO:0016043	cellular component organization	115	2	1.69	0.519
GO:0005976	polysaccharide metabolic process	50	1	0.74	0.533
