GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:0033554	cellular response to stress	61	7	2.43	0.0083
GO:0018130	heterocycle biosynthetic process	255	16	10.15	0.0290
GO:1901362	organic cyclic compound biosynthetic pro...	264	16	10.51	0.0395
GO:0006974	cellular response to DNA damage stimulus	49	5	1.95	0.0408
GO:1901607	alpha-amino acid biosynthetic process	71	6	2.83	0.0571
GO:0019438	aromatic compound biosynthetic process	256	15	10.19	0.0615
GO:0044106	cellular amine metabolic process	11	2	0.44	0.0678
GO:0006576	cellular biogenic amine metabolic proces...	11	2	0.44	0.0678
GO:0009308	amine metabolic process	11	2	0.44	0.0678
GO:0046483	heterocycle metabolic process	423	22	16.84	0.0700
GO:0009073	aromatic amino acid family biosynthetic ...	25	3	1	0.0734
GO:0009064	glutamine family amino acid metabolic pr...	26	3	1.04	0.0808
GO:0009072	aromatic amino acid family metabolic pro...	27	3	1.07	0.0884
GO:1901360	organic cyclic compound metabolic proces...	433	22	17.24	0.0890
GO:0006979	response to oxidative stress	13	2	0.52	0.0915
GO:0006541	glutamine metabolic process	13	2	0.52	0.0915
GO:0009218	pyrimidine ribonucleotide metabolic proc...	14	2	0.56	0.1041
GO:0008652	cellular amino acid biosynthetic process	84	6	3.34	0.1098
GO:0030001	metal ion transport	15	2	0.6	0.1172
GO:0046131	pyrimidine ribonucleoside metabolic proc...	15	2	0.6	0.1172
GO:0051260	protein homooligomerization	15	2	0.6	0.1172
GO:0090304	nucleic acid metabolic process	235	13	9.36	0.1198
GO:0034641	cellular nitrogen compound metabolic pro...	499	24	19.87	0.1285
GO:1901605	alpha-amino acid metabolic process	88	6	3.5	0.1300
GO:0006725	cellular aromatic compound metabolic pro...	426	21	16.96	0.1303
GO:0006213	pyrimidine nucleoside metabolic process	16	2	0.64	0.1306
GO:0009084	glutamine family amino acid biosynthetic...	16	2	0.64	0.1306
GO:0044271	cellular nitrogen compound biosynthetic ...	355	18	14.13	0.1331
GO:0055085	transmembrane transport	71	5	2.83	0.1461
GO:0072527	pyrimidine-containing compound metabolic...	34	3	1.35	0.1496
GO:0009108	coenzyme biosynthetic process	53	4	2.11	0.1552
GO:0051259	protein complex oligomerization	18	2	0.72	0.1585
GO:0006281	DNA repair	39	3	1.55	0.1998
GO:0051188	cofactor biosynthetic process	61	4	2.43	0.2209
GO:0006220	pyrimidine nucleotide metabolic process	23	2	0.92	0.2321
GO:0090407	organophosphate biosynthetic process	106	6	4.22	0.2402
GO:0006310	DNA recombination	24	2	0.96	0.2471
GO:0006732	coenzyme metabolic process	64	4	2.55	0.2473
GO:0090305	nucleic acid phosphodiester bond hydroly...	44	3	1.75	0.2534
GO:0006810	transport	109	6	4.34	0.2610
GO:0051179	localization	132	7	5.26	0.2653
GO:0046390	ribose phosphate biosynthetic process	66	4	2.63	0.2653
GO:0051234	establishment of localization	111	6	4.42	0.2752
GO:0072528	pyrimidine-containing compound biosynthe...	27	2	1.07	0.2925
GO:0016070	RNA metabolic process	160	8	6.37	0.2980
GO:0006351	transcription, DNA-templated	70	4	2.79	0.3021
GO:0046394	carboxylic acid biosynthetic process	115	6	4.58	0.3042
GO:0043604	amide biosynthetic process	138	7	5.49	0.3050
GO:0006139	nucleobase-containing compound metabolic...	377	17	15.01	0.3095
GO:0097659	nucleic acid-templated transcription	71	4	2.83	0.3115
GO:0016053	organic acid biosynthetic process	116	6	4.62	0.3115
GO:0071806	protein transmembrane transport	10	1	0.4	0.3350
GO:0046049	UMP metabolic process	10	1	0.4	0.3350
GO:0009173	pyrimidine ribonucleoside monophosphate ...	10	1	0.4	0.3350
GO:0034030	ribonucleoside bisphosphate biosynthetic...	10	1	0.4	0.3350
GO:0034033	purine nucleoside bisphosphate biosynthe...	10	1	0.4	0.3350
GO:0043094	cellular metabolic compound salvage	10	1	0.4	0.3350
GO:0032392	DNA geometric change	10	1	0.4	0.3350
GO:0019692	deoxyribose phosphate metabolic process	10	1	0.4	0.3350
GO:0033866	nucleoside bisphosphate biosynthetic pro...	10	1	0.4	0.3350
GO:0006812	cation transport	30	2	1.19	0.3376
GO:0032774	RNA biosynthetic process	75	4	2.99	0.3490
GO:0044272	sulfur compound biosynthetic process	31	2	1.23	0.3524
GO:0034660	ncRNA metabolic process	76	4	3.03	0.3585
GO:0006526	arginine biosynthetic process	11	1	0.44	0.3618
GO:0010467	gene expression	242	11	9.64	0.3629
GO:0034654	nucleobase-containing compound biosynthe...	218	10	8.68	0.3633
GO:1901566	organonitrogen compound biosynthetic pro...	316	14	12.58	0.3694
GO:0051186	cofactor metabolic process	78	4	3.11	0.3773
GO:0006520	cellular amino acid metabolic process	126	6	5.02	0.3865
GO:0033875	ribonucleoside bisphosphate metabolic pr...	12	1	0.48	0.3874
GO:0009220	pyrimidine ribonucleotide biosynthetic p...	12	1	0.48	0.3874
GO:0071897	DNA biosynthetic process	12	1	0.48	0.3874
GO:0045892	negative regulation of transcription, DN...	12	1	0.48	0.3874
GO:0034032	purine nucleoside bisphosphate metabolic...	12	1	0.48	0.3874
GO:1903507	negative regulation of nucleic acid-temp...	12	1	0.48	0.3874
GO:1902679	negative regulation of RNA biosynthetic ...	12	1	0.48	0.3874
GO:0015672	monovalent inorganic cation transport	12	1	0.48	0.3874
GO:0042398	cellular modified amino acid biosyntheti...	12	1	0.48	0.3874
GO:0033865	nucleoside bisphosphate metabolic proces...	12	1	0.48	0.3874
GO:0006525	arginine metabolic process	12	1	0.48	0.3874
GO:0006399	tRNA metabolic process	56	3	2.23	0.3878
GO:0043603	cellular amide metabolic process	150	7	5.97	0.3880
GO:0044283	small molecule biosynthetic process	200	9	7.96	0.4005
GO:0006396	RNA processing	58	3	2.31	0.4100
GO:0098662	inorganic cation transmembrane transport	13	1	0.52	0.4121
GO:0046132	pyrimidine ribonucleoside biosynthetic p...	13	1	0.52	0.4121
GO:0046134	pyrimidine nucleoside biosynthetic proce...	13	1	0.52	0.4121
GO:0006760	folic acid-containing compound metabolic...	13	1	0.52	0.4121
GO:0051253	negative regulation of RNA metabolic pro...	13	1	0.52	0.4121
GO:0044249	cellular biosynthetic process	473	20	18.83	0.4150
GO:0006464	cellular protein modification process	60	3	2.39	0.4321
GO:0036211	protein modification process	60	3	2.39	0.4321
GO:1901069	guanosine-containing compound catabolic ...	14	1	0.56	0.4358
GO:0098660	inorganic ion transmembrane transport	14	1	0.56	0.4358
GO:0009130	pyrimidine nucleoside monophosphate bios...	14	1	0.56	0.4358
GO:0016311	dephosphorylation	14	1	0.56	0.4358
GO:1901576	organic substance biosynthetic process	478	20	19.03	0.4396
GO:0009165	nucleotide biosynthetic process	85	4	3.38	0.4430
GO:1901293	nucleoside phosphate biosynthetic proces...	86	4	3.42	0.4523
