Operon_id	Proteins
1252851	WP_003513335.1;ADU73104.1;WP_003513337.1;ADU73103.1;WP_003513339.1;ADU73102.1
1252852	WP_003513306.1;ADU73108.1;WP_003513308.1;ADU73107.1
1252853	WP_003513303.1;ADU73110.1;WP_003513304.1;ADU73109.1
1252854	WP_003513279.1;ADU73123.1;WP_003516452.1;ADU73122.1;WP_003516455.1;ADU73121.1;WP_003513282.1;ADU73120.1
1252855	WP_003513250.1;ADU73140.1;WP_003513251.1;ADU73139.1
1252856	WP_003513246.1;ADU73143.1;WP_003513248.1;ADU73142.1
1252857	WP_003513240.1;ADU73146.1;WP_003513241.1;ADU73145.1
1252858	WP_003516418.1;ADU73156.1;WP_003513222.1;ADU73155.1
1252859	WP_003513219.1;ADU73158.1;WP_003513220.1;ADU73157.1
1252860	WP_003513203.1;ADU73165.1;WP_003513205.1;ADU73164.1;WP_003516416.1;ADU73163.1;WP_003513207.1;ADU73162.1;WP_003513209.1;ADU73161.1;WP_003519966.1;ADU73160.1
1252861	WP_003513182.1;ADU73174.1;WP_003513185.1;ADU73173.1;WP_003513187.1;ADU73172.1;WP_003516413.1;ADU73171.1
1252862	WP_003513173.1;ADU73178.1;WP_003513175.1;ADU73177.1;WP_003516409.1;ADU73176.1;WP_003516411.1;ADU73175.1
1252863	WP_003513164.1;ADU73181.1;WP_003513166.1;ADU73180.1
1252864	WP_003516403.1;ADU73186.1;WP_003513153.1;ADU73185.1
1252865	WP_003513124.1;ADU73200.1;WP_003513126.1;ADU73199.1;WP_003513128.1;ADU73198.1;WP_003513130.1;ADU73197.1;WP_003513132.1;ADU73196.1
1252866	WP_003518361.1;ADU73202.1;WP_003513122.1;ADU73201.1
1252867	WP_003513108.1;ADU73208.1;WP_003513110.1;ADU73207.1;WP_003518359.1;ADU73206.1;WP_003513114.1;ADU73205.1
1252868	WP_003513104.1;ADU73210.1;WP_003513106.1;ADU73209.1
1252869	WP_003513096.1;ADU73215.1;WP_003513098.1;ADU73214.1;WP_003518358.1;ADU73213.1;WP_003513100.1;ADU73212.1;WP_003513101.1;ADU73211.1
1252870	WP_003513083.1;ADU73222.1;WP_003513085.1;ADU73221.1;WP_003513087.1;ADU73220.1;WP_003513089.1;ADU73219.1;WP_003518356.1;ADU73218.1;WP_003518357.1;ADU73217.1;WP_003513095.1;ADU73216.1
1252871	WP_003513078.1;ADU73224.1;WP_003518355.1;ADU73223.1
1252872	WP_003518353.1;ADU73226.1;WP_003521048.1;ADU73225.1
1252873	WP_003513074.1;ADU73228.1;WP_003513076.1;ADU73227.1
1252874	WP_003518346.1;ADU73231.1;ADU73230.1;WP_003513072.1;ADU73229.1
1252875	WP_003518337.1;ADU73237.1;WP_003513053.1;ADU73236.1;WP_003518339.1;ADU73235.1;WP_003513065.1;ADU73234.1;WP_003518341.1;ADU73233.1;WP_003521052.1;ADU73232.1
1252876	WP_003513028.1;ADU73240.1;WP_003513046.1;ADU73239.1
1252877	WP_003513023.1;ADU73244.1;WP_003518334.1;ADU73243.1
1252878	WP_003513011.1;ADU73257.1;WP_003513012.1;ADU73256.1;WP_003513013.1;ADU73255.1
1252879	WP_003513001.1;ADU73265.1;WP_003515476.1;ADU73264.1;WP_003515478.1;ADU73263.1;WP_003515480.1;ADU73262.1;WP_003513007.1;ADU73261.1
1252880	WP_003520894.1;ADU73267.1;WP_003515474.1;ADU73266.1
1252881	WP_003515466.1;ADU73270.1;WP_003515468.1;ADU73269.1
1252882	WP_003512987.1;ADU73276.1;WP_003512988.1;ADU73275.1
1252883	WP_003512983.1;ADU73278.1;WP_003515463.1;ADU73277.1
1252884	WP_003515458.1;ADU73283.1;WP_003515459.1;ADU73282.1;WP_003512977.1;ADU73281.1;WP_003515461.1;ADU73280.1;WP_003512981.1;ADU73279.1
1252885	WP_003512969.1;ADU73285.1;WP_003512970.1;ADU73284.1
1252886	WP_003512965.1;ADU73287.1;WP_003512967.1;ADU73286.1
1252887	WP_003512956.1;ADU73291.1;WP_003515456.1;ADU73290.1;WP_003515457.1;ADU73289.1;WP_003512963.1;ADU73288.1
1252888	WP_003512947.1;ADU73295.1;WP_003512950.1;ADU73294.1;WP_003512952.1;ADU73293.1
1252889	WP_003512930.1;ADU73303.1;WP_003512932.1;ADU73302.1
1252890	WP_003512926.1;ADU73305.1;WP_003512928.1;ADU73304.1
1252891	WP_003515445.1;ADU73312.1;WP_003512915.1;ADU73311.1
1252892	WP_003515443.1;ADU73314.1;WP_003512912.1;ADU73313.1
1252893	WP_003515441.1;ADU73317.1;WP_003515442.1;ADU73316.1
1252894	WP_003512882.1;ADU73332.1;WP_003512884.1;ADU73331.1;WP_003512886.1;ADU73330.1;WP_003512888.1;ADU73329.1;WP_003512890.1;ADU73328.1;WP_003512892.1;ADU73327.1;WP_003512894.1;ADU73326.1;WP_003512896.1;ADU73325.1;WP_003512898.1;ADU73324.1;WP_003512900.1;ADU73323.1;WP_003512903.1;ADU73322.1;WP_003512905.1;ADU73321.1;WP_003515439.1;ADU73320.1;WP_003512907.1;ADU73319.1
1252895	WP_003512873.1;ADU73337.1;WP_003512875.1;ADU73336.1;WP_003512877.1;ADU73335.1
1252896	WP_003512862.1;ADU73343.1;WP_003512863.1;ADU73342.1
1252897	WP_003515416.1;ADU73355.1;ADU73354.1
1252898	WP_003512826.1;ADU73360.1;WP_003512828.1;ADU73359.1
1252899	WP_003512797.1;ADU73374.1;WP_003512799.1;ADU73373.1;WP_003515390.1;ADU73372.1
1252900	WP_003512791.1;ADU73376.1;WP_003512794.1;ADU73375.1
1252901	WP_037294780.1;ADU73379.1;WP_003512787.1;ADU73378.1;WP_003515387.1;ADU73377.1
1252902	WP_003512779.1;ADU73382.1;WP_003512781.1;ADU73381.1;WP_003512783.1;ADU73380.1
1252903	WP_003515381.1;ADU73384.1;WP_003512777.1;ADU73383.1
1252904	WP_003512755.1;ADU73387.1;WP_003512770.1;ADU73386.1
1252905	WP_003515370.1;ADU73391.1;WP_003515373.1;ADU73390.1;WP_003515376.1;ADU73389.1;WP_003515378.1;ADU73388.1
1252906	WP_003515027.1;ADU73394.1;WP_003515029.1;ADU73393.1
1252907	WP_003515025.1;ADU73396.1;WP_003515026.1;ADU73395.1
1252908	WP_003515022.1;ADU73399.1;WP_003515023.1;ADU73398.1
1252909	WP_003515020.1;ADU73401.1;WP_003515021.1;ADU73400.1
1252910	WP_003515018.1;ADU73403.1;WP_003515019.1;ADU73402.1
1252911	WP_003515363.1;ADU73405.1;WP_003515365.1;ADU73404.1
1252912	WP_003514309.1;ADU73410.1;WP_003515361.1;ADU73409.1;WP_003514305.1;ADU73408.1
1252913	WP_003520857.1;ADU73412.1;WP_003514311.1;ADU73411.1
1252914	WP_003515357.1;ADU73414.1;WP_003514313.1;ADU73413.1
1252915	WP_003514320.1;ADU73418.1;WP_003514317.1;ADU73417.1;WP_003515355.1;ADU73416.1;WP_003514315.1;ADU73415.1
1252916	WP_003514326.1;ADU73421.1;WP_003514324.1;ADU73420.1;WP_003514322.1;ADU73419.1
1252917	WP_003514339.1;ADU73427.1;WP_003514338.1;ADU73426.1
1252918	WP_003514376.1;ADU73433.1;WP_003514375.1;ADU73432.1
1252919	WP_003514378.1;ADU73435.1;WP_003514377.1;ADU73434.1
1252920	WP_003514386.1;ADU73442.1;WP_014522590.1;ADU73441.1
1252921	WP_003515335.1;ADU73445.1;WP_003515337.1;ADU73444.1;WP_003520845.1;ADU73443.1
1252922	WP_003514395.1;ADU73447.1;WP_003515333.1;ADU73446.1
1252923	WP_003515330.1;ADU73449.1;WP_003515331.1;ADU73448.1
1252924	ADU73453.1;ADU73452.1;WP_003515328.1;ADU73451.1
1252925	WP_003515322.1;ADU73455.1;WP_003515324.1;ADU73454.1
1252926	WP_003515318.1;ADU73457.1;WP_003515320.1;ADU73456.1
1252927	WP_003515290.1;ADU73479.1;WP_003514458.1;ADU73478.1;WP_003514456.1;ADU73477.1;WP_003514453.1;ADU73476.1;WP_003515293.1;ADU73475.1;WP_003515294.1;ADU73474.1;WP_003515296.1;ADU73473.1;WP_003515298.1;ADU73472.1;WP_003520835.1;ADU73471.1;WP_003514440.1;ADU73470.1;WP_003514439.1;ADU73469.1;WP_003514437.1;ADU73468.1;WP_003515302.1;ADU73467.1;WP_003514433.1;ADU73466.1;WP_003515304.1;ADU73465.1;WP_003515306.1;ADU73464.1;WP_003515309.1;ADU73463.1;WP_003515310.1;ADU73462.1
1252928	WP_003514467.1;ADU73483.1;WP_003514465.1;ADU73482.1;WP_003514463.1;ADU73481.1;WP_003515288.1;ADU73480.1
1252929	WP_003515277.1;ADU73492.1;WP_003515279.1;ADU73491.1
1252930	WP_003514503.1;ADU73498.1;WP_003514500.1;ADU73497.1;WP_003518813.1;ADU73496.1;WP_003518814.1;ADU73495.1;WP_003514493.1;ADU73494.1
1252931	WP_003514545.1;ADU73501.1;WP_003514543.1;ADU73500.1
1252932	WP_003514575.1;ADU73512.1;WP_003514573.1;ADU73511.1;WP_003514572.1;ADU73510.1
1252933	WP_003514583.1;ADU73520.1;WP_003514582.1;ADU73519.1;WP_003514581.1;ADU73518.1;WP_003514580.1;ADU73517.1;WP_003518801.1;ADU73516.1;WP_003514578.1;ADU73515.1;WP_003514577.1;ADU73514.1;WP_003518803.1;ADU73513.1
1252934	WP_003514589.1;ADU73522.1;WP_003514587.1;ADU73521.1
1252935	WP_003514599.1;ADU73524.1;WP_003514597.1;ADU73523.1
1252936	WP_003514612.1;ADU73530.1;WP_003521553.1;ADU73529.1;WP_003514607.1;ADU73528.1
1252937	WP_003514672.1;ADU73559.1;WP_003514670.1;ADU73558.1;WP_003514668.1;ADU73557.1;WP_003514667.1;ADU73556.1;WP_003518549.1;ADU73555.1;WP_003514662.1;ADU73554.1;WP_003514660.1;ADU73553.1;WP_003514658.1;ADU73552.1;WP_003514656.1;ADU73551.1;WP_003514654.1;ADU73550.1;WP_003514653.1;ADU73549.1;WP_003514651.1;ADU73548.1;WP_003514649.1;ADU73547.1;WP_003514647.1;ADU73546.1;WP_003514645.1;ADU73545.1;WP_003514643.1;ADU73544.1;WP_003514641.1;ADU73543.1;WP_003514639.1;ADU73542.1;WP_003514637.1;ADU73541.1;WP_003514635.1;ADU73540.1;WP_003518554.1;ADU73539.1;WP_003514630.1;ADU73538.1;WP_003518557.1;ADU73537.1;WP_003514625.1;ADU73536.1;WP_003514623.1;ADU73535.1;WP_003514621.1;ADU73534.1;WP_003514618.1;ADU73533.1;ADU73532.1
1252938	WP_003514677.1;ADU73562.1;WP_003514675.1;ADU73561.1;WP_003514673.1;ADU73560.1
1252939	WP_003518535.1;ADU73570.1;WP_003518536.1;ADU73569.1;WP_003518538.1;ADU73568.1;WP_003518540.1;ADU73567.1
1252940	WP_003518528.1;ADU73573.1;WP_037294864.1;ADU73572.1
1252941	WP_003518524.1;ADU73575.1;WP_003518526.1;ADU73574.1
1252942	WP_003514691.1;ADU73579.1;WP_003514690.1;ADU73578.1;WP_003518519.1;ADU73577.1;WP_003518521.1;ADU73576.1
1252943	WP_003514698.1;ADU73583.1;WP_003514696.1;ADU73582.1;WP_003514694.1;ADU73581.1
1252944	WP_003514703.1;ADU73585.1;WP_003514700.1;ADU73584.1
1252945	WP_003514737.1;ADU73599.1;WP_037294696.1;ADU73598.1;WP_003519421.1;ADU73597.1;WP_003514730.1;ADU73596.1
1252946	WP_003514747.1;ADU73605.1;WP_003514745.1;ADU73604.1;WP_003519415.1;ADU73603.1
1252947	WP_014522592.1;ADU73607.1;WP_014522591.1;ADU73606.1
1252948	WP_003514757.1;ADU73610.1;WP_003519922.1;ADU73609.1
1252949	WP_003514774.1;ADU73614.1;WP_003514773.1;ADU73613.1
1252950	WP_003516937.1;ADU73620.1;WP_003516939.1;ADU73619.1;WP_003516940.1;ADU73618.1
1252951	WP_003516935.1;ADU73622.1;WP_003514927.1;ADU73621.1
1252952	WP_003514893.1;ADU73641.1;WP_003516920.1;ADU73640.1
1252953	WP_003514865.1;ADU73652.1;WP_003514867.1;ADU73651.1;WP_003516913.1;ADU73650.1;WP_003516915.1;ADU73649.1;WP_003514874.1;ADU73648.1;WP_003514876.1;ADU73647.1;WP_003514880.1;ADU73646.1
1252954	WP_003514861.1;ADU73654.1;WP_003514863.1;ADU73653.1
1252955	WP_003514855.1;ADU73657.1;WP_003514857.1;ADU73656.1;WP_003514859.1;ADU73655.1
1252956	WP_003514852.1;ADU73659.1;ADU73658.1
1252957	WP_003514842.1;ADU73667.1;WP_003514843.1;ADU73666.1
1252958	WP_003514806.1;ADU73681.1;WP_003514814.1;ADU73680.1;WP_003514815.1;ADU73679.1;WP_003516895.1;ADU73678.1
1252959	WP_003514797.1;ADU73686.1;WP_014522593.1;ADU73685.1
1252960	ADU73688.1;WP_003514796.1;ADU73687.1
1252961	WP_003511531.1;ADU73699.1;WP_003519346.1;ADU73698.1;WP_003511526.1;ADU73697.1;WP_003519349.1;ADU73696.1
1252962	WP_003511548.1;ADU73705.1;WP_003511547.1;ADU73704.1;WP_003511546.1;ADU73703.1
1252963	WP_003519374.1;ADU73710.1;WP_003519375.1;ADU73709.1
1252964	WP_003511577.1;ADU73721.1;WP_003519369.1;ADU73720.1
1252965	WP_003511596.1;ADU73726.1;WP_003511591.1;ADU73725.1
1252966	WP_003511602.1;ADU73730.1;WP_003511601.1;ADU73729.1
1252967	WP_003511604.1;ADU73732.1;WP_003511603.1;ADU73731.1
1252968	WP_003511607.1;ADU73735.1;WP_003511606.1;ADU73734.1
1252969	WP_003511616.1;ADU73740.1;WP_003511615.1;ADU73739.1;WP_003511613.1;ADU73738.1;WP_003511612.1;ADU73737.1;WP_003511610.1;ADU73736.1
1252970	ADU73744.1;WP_003511628.1;ADU73743.1
1252971	WP_003511635.1;ADU73746.1;WP_003511632.1;ADU73745.1
1252972	WP_003511642.1;ADU73748.1;WP_003511639.1;ADU73747.1
1252973	WP_003511653.1;ADU73752.1;WP_003511651.1;ADU73751.1
1252974	WP_003516159.1;ADU73756.1;WP_003516160.1;ADU73755.1
1252975	WP_003511673.1;ADU73771.1;WP_003511672.1;ADU73770.1
1252976	WP_003511676.1;ADU73775.1;WP_003511675.1;ADU73774.1
1252977	WP_003516150.1;ADU73777.1;WP_003511677.1;ADU73776.1
1252978	WP_003511682.1;ADU73781.1;WP_003511681.1;ADU73780.1
1252979	WP_003511692.1;ADU73789.1;WP_003516142.1;ADU73788.1;WP_003511688.1;ADU73787.1;WP_003516143.1;ADU73786.1
1252980	WP_003511713.1;ADU73797.1;WP_003516132.1;ADU73796.1;WP_003516134.1;ADU73795.1
1252981	WP_003516120.1;ADU73801.1;WP_003516128.1;ADU73800.1;WP_003511717.1;ADU73799.1
1252982	WP_003516115.1;ADU73804.1;WP_003511726.1;ADU73803.1
1252983	WP_003511748.1;ADU73811.1;WP_003511746.1;ADU73810.1
1252984	;ADU73817.1;WP_003516103.1;ADU73816.1
1252985	WP_003511791.1;ADU73825.1;WP_003511789.1;ADU73824.1
1252986	WP_003516061.1;ADU73840.1;WP_003521380.1;ADU73839.1;WP_003516071.1;ADU73838.1;WP_003516073.1;ADU73837.1;WP_003516075.1;ADU73836.1;WP_003516077.1;ADU73835.1;WP_003516078.1;ADU73834.1;WP_003516080.1;ADU73833.1;WP_003521384.1;ADU73832.1;WP_003521386.1;ADU73831.1;WP_003516089.1;ADU73830.1;WP_003516091.1;ADU73829.1
1252987	WP_003516053.1;ADU73842.1;WP_003516055.1;ADU73841.1
1252988	WP_003519476.1;ADU73854.1;WP_003511862.1;ADU73853.1
1252989	WP_003511872.1;ADU73857.1;WP_014522599.1;ADU73856.1
1252990	WP_003519621.1;ADU73860.1;;ADU73859.1
1252991	;ADU73862.1;WP_003519623.1;ADU73861.1
1252992	WP_003519236.1;ADU73868.1;WP_003519238.1;ADU73867.1;WP_003519241.1;ADU73866.1
