Protein	EC
WP_003519033.1	EC:3.4.24
WP_003520620.1	EC:2.1.1;EC:2.6.1.62
WP_003516661.1	EC:3.6.1.13
WP_003517100.1	EC:2.4
ADU74518.1	EC:2.1.1.228
WP_003513205.1	EC:1
WP_003513604.1	EC:2.3.1.5
WP_003511986.1	EC:1.17.4.1
WP_003518403.1	EC:2
WP_003519227.1	EC:2.3.1.57
WP_003517270.1	EC:4;EC:3.2
WP_003514581.1	EC:4;EC:5
WP_003518740.1	EC:3.1.3.2;EC:3.2.1.4
WP_003518228.1	EC:1
WP_003514166.1	EC:3.4.21
WP_003513137.1	EC:3.4.21
WP_003514893.1	EC:2;EC:1.3.99.16
WP_003518917.1	EC:2.8.1;EC:6.3.5.4;EC:6.3.4.5
WP_003521330.1	EC:3;EC:2.5.1.47
WP_003512411.1	EC:1;EC:2.6.1
WP_003513773.1	EC:2.5 EC:2.5.1;EC:4
WP_003519462.1	EC:3.2.1
WP_003517276.1	EC:1
WP_003518588.1	EC:1.1.1.262
WP_003511600.1	EC:2.4
WP_003515705.1	EC:5.4.2;EC:2.7.7
WP_003519477.1	EC:3.5
WP_003516188.1	EC:4;EC:7.2.4.1 EC:7.2.4.2 EC:7.2.4.3 EC:7.2.4.4 EC:7.2.4.5
WP_003512583.1	EC:7.1.1.2
WP_003513101.1	EC:3.6.3.25;EC:2.7.7
WP_003514601.1	EC:3.2
WP_003513219.1	EC:2.1.1.297
WP_003518456.1	EC:2.7.3
WP_003517294.1	EC:2.1.1
WP_003514120.1	EC:2.7.7.6
WP_003520521.1	EC:3
WP_003512970.1	EC:3
WP_003517549.1	EC:2.4.2.21;EC:6.3.5.11
WP_003517593.1	EC:3.4
WP_003516640.1	EC:3.2.1
WP_003519009.1	EC:1
WP_003517987.1	EC:2.1.1;EC:3.1.1.61;EC:3.5.1.44
WP_003512454.1	EC:2.7.3
ADU75560.1	EC:2.7.2.8;EC:2.3.1.1
WP_003513374.1	EC:3.1
WP_003518337.1	EC:2.1.1
WP_003517278.1	EC:3.2.1.8;EC:3.5;EC:3.2.1.78
WP_003516841.1	EC:3.4.21;EC:2.7.7.65
WP_003515390.1	EC:2.4;EC:2.5 EC:2.5.1
WP_003515463.1	EC:2.7.7.87
WP_003516409.1	EC:3.6.1.3
WP_003517498.1	EC:3.2.1
WP_003520929.1	EC:2.7.7.101;EC:3.6.4.12
WP_003513372.1	EC:6.1.1;EC:2.4.2.19
WP_003515306.1	EC:2.1.1;EC:4.1.1.37
WP_003518858.1	EC:2.4.2.1
WP_080514930.1	EC:3.6.1.3;EC:7.2.2
WP_003512912.1	EC:3.1.1.29
ADU73753.1	EC:1.2
WP_003519077.1	EC:3.2.1
WP_003512581.1	EC:2.7.13.3
WP_003518379.1	EC:3.2.1.4
WP_003513261.1	EC:2.7.1.148
WP_004463784.1	EC:4.2.3.1;EC:1
WP_003517255.1	EC:4.1.1.11
WP_003512097.1	EC:1
WP_003519447.1	EC:2.7.7.7
WP_003514168.1	EC:3
WP_003514578.1	EC:6.3.2.6;EC:6.3.5.3
WP_003518187.1	EC:3.6.4.12
WP_003518662.1	EC:2.1.1;EC:2.5.1.17
WP_003516217.1	EC:2.3
WP_003512801.1	EC:2.6.1.39
WP_003517585.1	EC:2.7.3
WP_003517604.1	EC:3.6.1.3
WP_003518540.1	EC:3
WP_003512956.1	EC:3
WP_003519336.1	EC:3.2.1;EC:2.3.1.5
WP_003512873.1	EC:3.1.3.48
WP_003515767.1	EC:3.6.1.3
WP_003512448.1	EC:1.1.1.42
WP_003516319.1	EC:3.4.24
WP_003512420.1	EC:3.2.1
WP_003512678.1	EC:3.6.1.3
WP_003518070.1	EC:3.1.3.2;EC:3.2.1
WP_003516837.1	EC:3.2.1
WP_003516871.1	EC:3.2.1
WP_003518542.1	EC:2.1.1
ADU74011.1	EC:6.3.2.5;EC:4.1.1.36
WP_003514559.1	EC:3.4
WP_003516667.1	EC:5.4.2.7
WP_003512281.1	EC:1
